libID	QC_pass	primary	secondary	supplementary	duplicate	primary_duplicate	mapped	primary_mapped	paired	read1	read2	paired_proper	paired_mapped	singleton	paired_diff_chr	paired_diff_chr5
4783_G3	28017148	28017148	0	0	0	0	28017148	28017148	28017148	14008574	14008574	28017148	28017148	0	0	0
4728_G4	30130250	30130250	0	0	0	0	30130250	30130250	30130250	15065125	15065125	30130250	30130250	0	0	0
4750_G2	29727278	29727278	0	0	0	0	29727278	29727278	29727278	14863639	14863639	29727278	29727278	0	0	0
4786_G5	29797856	29797856	0	0	0	0	29797856	29797856	29797856	14898928	14898928	29797856	29797856	0	0	0
4756_G10	30546768	30546768	0	0	0	0	30546768	30546768	30546768	15273384	15273384	30546768	30546768	0	0	0
4780_G1	29620568	29620568	0	0	0	0	29620568	29620568	29620568	14810284	14810284	29620568	29620568	0	0	0
4727_G4	29424440	29424440	0	0	0	0	29424440	29424440	29424440	14712220	14712220	29424440	29424440	0	0	0
4794_G7	30411966	30411966	0	0	0	0	30411966	30411966	30411966	15205983	15205983	30411966	30411966	0	0	0
4745_G2	32373134	32373134	0	0	0	0	32373134	32373134	32373134	16186567	16186567	32373134	32373134	0	0	0
4760_G2	28875996	28875996	0	0	0	0	28875996	28875996	28875996	14437998	14437998	28875996	28875996	0	0	0
4793_G7	29774876	29774876	0	0	0	0	29774876	29774876	29774876	14887438	14887438	29774876	29774876	0	0	0
4788_G5	29935520	29935520	0	0	0	0	29935520	29935520	29935520	14967760	14967760	29935520	29935520	0	0	0
4784_G3	30293668	30293668	0	0	0	0	30293668	30293668	30293668	15146834	15146834	30293668	30293668	0	0	0
4729_G4	21761116	21761116	0	0	0	0	21761116	21761116	21761116	10880558	10880558	21761116	21761116	0	0	0
4778_G9	30353454	30353454	0	0	0	0	30353454	30353454	30353454	15176727	15176727	30353454	30353454	0	0	0
4779_G9	30105532	30105532	0	0	0	0	30105532	30105532	30105532	15052766	15052766	30105532	30105532	0	0	0
4748_G6	30681726	30681726	0	0	0	0	30681726	30681726	30681726	15340863	15340863	30681726	30681726	0	0	0
4785_G1	30707290	30707290	0	0	0	0	30707290	30707290	30707290	15353645	15353645	30707290	30707290	0	0	0
4749_G6	29365248	29365248	0	0	0	0	29365248	29365248	29365248	14682624	14682624	29365248	29365248	0	0	0
4755_G2	28963200	28963200	0	0	0	0	28963200	28963200	28963200	14481600	14481600	28963200	28963200	0	0	0
4791_G7	30123260	30123260	0	0	0	0	30123260	30123260	30123260	15061630	15061630	30123260	30123260	0	0	0
4782_G3	29498830	29498830	0	0	0	0	29498830	29498830	29498830	14749415	14749415	29498830	29498830	0	0	0
4787_G5	30461946	30461946	0	0	0	0	30461946	30461946	30461946	15230973	15230973	30461946	30461946	0	0	0
4759_G10	28797716	28797716	0	0	0	0	28797716	28797716	28797716	14398858	14398858	28797716	28797716	0	0	0
4754_G8	31185152	31185152	0	0	0	0	31185152	31185152	31185152	15592576	15592576	31185152	31185152	0	0	0
4781_G3	29521998	29521998	0	0	0	0	29521998	29521998	29521998	14760999	14760999	29521998	29521998	0	0	0
4789_G5	31960224	31960224	0	0	0	0	31960224	31960224	31960224	15980112	15980112	31960224	31960224	0	0	0
4757_G10	30312480	30312480	0	0	0	0	30312480	30312480	30312480	15156240	15156240	30312480	30312480	0	0	0
4747_G6	30676418	30676418	0	0	0	0	30676418	30676418	30676418	15338209	15338209	30676418	30676418	0	0	0
4752_G8	29961610	29961610	0	0	0	0	29961610	29961610	29961610	14980805	14980805	29961610	29961610	0	0	0
4790_G1	31013048	31013048	0	0	0	0	31013048	31013048	31013048	15506524	15506524	31013048	31013048	0	0	0
4776_G9	30845828	30845828	0	0	0	0	30845828	30845828	30845828	15422914	15422914	30845828	30845828	0	0	0
4795_G1	30861252	30861252	0	0	0	0	30861252	30861252	30861252	15430626	15430626	30861252	30861252	0	0	0
4777_G9	30232228	30232228	0	0	0	0	30232228	30232228	30232228	15116114	15116114	30232228	30232228	0	0	0
4751_G8	29969246	29969246	0	0	0	0	29969246	29969246	29969246	14984623	14984623	29969246	29969246	0	0	0
4746_G6	32606952	32606952	0	0	0	0	32606952	32606952	32606952	16303476	16303476	32606952	32606952	0	0	0
4753_G8	30416746	30416746	0	0	0	0	30416746	30416746	30416746	15208373	15208373	30416746	30416746	0	0	0
4726_G4	30202896	30202896	0	0	0	0	30202896	30202896	30202896	15101448	15101448	30202896	30202896	0	0	0
4792_G7	29061848	29061848	0	0	0	0	29061848	29061848	29061848	14530924	14530924	29061848	29061848	0	0	0
4758_G10	30516430	30516430	0	0	0	0	30516430	30516430	30516430	15258215	15258215	30516430	30516430	0	0	0
